"activeItem","Rec1","Rec2","Rec3","Rec4","Rec5"
"17240","47846","55259","7452","38170","51036"
"24218","11622","12026","12035","12195","12385"
"21949","71472","22799","28627","13711","14526"
"6478","49136","74465","12358","17923","19826"
"76242","10505","12117","1214","12769","12871"
"71112","61364","5180","10636","109","11192"
"76437","29944","45673","11941","17075","18493"
"52656","54524","61791","49908","1465","1516"
"10304","10026","10309","10809","1102","11223"
"25399","43742","73992","55695","27705","52995"
"71619","47103","2094","24547","32512","35107"
"31439","24893","11753","35326","45985","19698"
"14323","5087","45820","32495","75263","41088"
"10842","73856","11091","14285","14662","1639"
"39515","48838","9419","54656","76795","609"
"59732","59732","71943","58489","10493","10695"
"56452","46124","25079","50058","73617","35069"
"53496","53365","48548","10026","10098","10199"
"27903","14080","33456","53029","57993","19155"
"53672","10161","24704","72461","1120","72373"
"29813","12746","16287","22331","23735","24543"
"67909","12369","64960","36080","30583","75853"
"36620","27050","68456","19382","4800","68187"
"44197","10080","1027","10421","10692","10735"
"68772","994","10164","10356","10536","1080"
"72058","1151","62552","1002","10136","10275"
"17921","45506","52813","7164","1074","11970"
"67832","33157","24895","71152","1119","1501"
"73203","52802","74264","17071","17998","28775"
"30873","6557","10038","10182","10865","11067"
"46059","47121","56059","33948","75203","77948"
"49615","692","20110","3290","45642","49536"
"76629","50640","1085","11480","13846","14205"
"55488","61837","4686","29054","20498","15915"
"30713","5500","58721","30933","37595","61033"
"3527","1089","10946","11839","12471","12937"
"52884","6406","10121","11891","12146","12434"
"48270","10830","11513","11749","12629","13712"
"18224","18685","20973","26150","38493","54955"
"39309","1424","19434","29309","45902","27391"
"11265","16305","37553","11265","23526","17817"
"8288","65736","1053","10911","11177","11912"
"40312","77970","78346","10460","10669","24389"
"35418","10125","10241","10681","10695","10778"
"78181","67157","52477","19070","11705","19324"
"8859","10097","10106","10209","10323","10516"
"3875","65369","35690","23079","33357","28023"
"17348","59538","48605","31102","59402","29801"
"37321","5803","25085","15655","21051","24407"
"22277","47868","27060","75102","36040","72036"
"52705","1028","10485","10603","10791","11214"
"26856","42473","78288","1032","10534","1123"
"36095","18438","54550","78747","3281","2544"
"66497","61673","14617","49887","37898","1019"
"55326","10060","10238","10390","10406","10678"
"3959","5022","27035","35563","11737","62887"
"66928","66928","70689","42353","1607","20936"
"23159","46377","20239","35726","4439","33972"
"76762","64261","72410","58382","55794","10494"
"73748","64606","6271","64511","10099","10149"
"8248","65202","10716","1157","11809","13952"
"39766","10637","1178","12017","12355","12494"
"49234","54876","18798","20120","29440","39691"
"23366","21720","48569","11474","12763","1278"
"59734","25591","11139","1197","1370","15949"
"41020","57997","55069","46409","18844","22373"
"74389","78983","3400","69973","74619","76285"
"8538","1074","11970","12097","12597","13078"
"40113","10646","12044","12283","12588","1272"
"32980","22097","27520","38811","59378","30337"
"47068","10125","10241","10681","10695","10778"
"20083","20287","39296","52786","41369","15227"
"31728","71799","75957","16102","18938","21029"
"52192","11622","12026","12035","12195","12385"
"62732","35107","56972","19565","4265","44220"
"30746","28851","54492","10097","10106","10209"
"22622","177","188","25057","35716","37555"
"54612","13102","64207","65541","5060","74214"
"59032","2535","49804","25604","25324","71573"
"26385","10192","10373","10737","12130","12214"
"65461","74747","1232","10026","10098","10199"
"54835","73277","72155","33202","75815","55611"
"54737","45467","75990","31260","56766","42221"
"76905","35338","60579","60658","20041","36878"
"45093","19349","35840","37146","8456","69157"
"31273","26652","31864","60519","68311","12048"
"851","72857","63068","11286","74064","1089"
"16935","48802","1079","9936","10346","11614"
"28379","67416","56007","16382","72763","60379"
"17009","11343","11725","12131","12854","13380"
"1486","71211","12290","19296","30232","14077"
"62630","12804","28358","1197","12209","1370"
"34682","39618","34682","38879","56568","15951"
"6741","25584","1687","19091","77894","10426"
"20852","10026","10304","10309","10809","1102"
"22265","9773","12704","16156","1671","34270"
"2244","10048","11085","11982","12589","13016"
"26396","61916","28807","78892","29003","45790"
"48796","12413","71448","34460","8675","57467"
"45501","1942","23907","11356","52576","45055"
"26445","12785","14122","14251","15353","16465"
"457","10377","11052","11081","1119","11276"
"35752","11810","11898","12180","15766","16534"
"47491","31540","10079","11913","14298","14994"
"43762","31629","35302","12730","76611","47677"
"23599","51955","65169","23321","26033","73460"
"13325","34065","68371","17971","65745","11287"
"3273","18275","3070","5089","57519","68261"
"2257","3411","37600","13137","13287","14562"
"34670","40946","10716","11128","11809","1425"
"74105","58288","68068","74316","42176","40654"
"35720","26607","69779","17771","27369","35369"
"71526","25653","2892","36478","49930","53440"
"21737","11548","10355","10445","11372","11417"
"7860","10055","11216","11407","12417","12562"
"41648","18955","46846","50691","71319","63435"
"1640","10284","10987","11486","11919","12462"
"33814","45991","17666","24623","24696","74696"
"19717","62158","37533","10666","49265","52523"
"78998","18996","30283","40412","46065","19321"
"23643","879","11278","12539","12652","13814"
"68712","35690","98","57366","17345","6111"
"63739","41469","53932","61293","10781","11080"
"42328","25129","1826","31572","52722","63795"
"23446","41430","23853","9556","63207","55332"
"21285","53470","37135","8369","62206","28674"
"72959","10397","1081","1099","1255","13119"
"8548","13799","39224","63080","10493","10695"
"21221","10055","11407","12562","13331","13638"
"12564","64907","68724","18066","39398","56669"
"9577","71008","18043","19281","22724","33797"
"29381","1335","78905","62685","59016","68783"
"19688","76898","78750","43509","32802","15586"
"45195","58967","57134","59496","27679","12412"
"22775","52193","10287","10346","1036","10585"
"13131","8333","13420","25755","26745","2693"
"8861","55373","77698","55743","38485","10901"
"1680","5558","20691","45814","19307","21320"
"62200","10294","10994","12249","1237","12509"
"73868","10397","1081","1099","1255","13119"
"7666","24069","23738","45881","76874","27124"
"7084","33485","50909","28775","5812","54407"
"74586","33564","15840","69803","13977","16326"
"2335","2335","41991","32716",NA,NA
"22877","11148","188","22622","25057","35716"
"68509","10281","15459","74472","11195","37619"
"28737","41468","43366","24668","19361","53804"
"66339","105","13778","15297","21189","2323"
"49803","50722","11622","12026","12035","12195"
"14189","27245","31311","34616","39839","45814"
"9884","6090","69683","27989","45564","66635"
"67630","55709","10840","34604","6202","75140"
"11407","60939","10055","12260","12562","13331"
"8384","73827","32903","10667","17805","20300"
"75345","52963","65150","26751","56762","6930"
"45841","68933","11464","16171","17852","23380"
"63764","64971","63764","49305","65812","56380"
"70197","5700","34964","70842","43185","65046"
"32109","44511","72777","40144","2917","36928"
"30434","32675","23942","69062","26694","16741"
"45358","21819","10577","11179","11216","1132"
"52721","20354","30025","53186","69395","54288"
"58820","18485","33141","44551","63845","78729"
"70803","13708","58888","31862","16080","8043"
"50338","826","39775","28916","39865","10459"
"66493","39767","10029","10234","11105","11623"
"52519","30356","34207","9798","44798","24849"
"37378","12469","13975","17582","18780","21763"
"49952","11693","11769","14182","15917","16724"
"75882","414","78436","53426","10397","1081"
"7445","20893","55548","16987","51107","49484"
"17850","64423","21391","51041","16321","23724"
"42566","67526","1409","1053","10911","11177"
"29708","10086","10767","10851","13345","14148"
"46476","10000","10737","11956","12214","1288"
"14470","55091","62296","56630","21016","6272"
"43679","2499","29271","65573","11921","10062"
"40279","11772","14732","14743","18312","18468"
"24002","18553","2082","22760","27671","31227"
"68253","46556","29051","74414","51566","65893"
"15581","20614","20936","74988","12962","2873"
"73552","50179","9820","18777","48336","18042"
"38164","37047","10459","1074","1100","11970"
"58779","49659","51920","42353","21396","57594"
"57464","21090","3232","64773","23596","72281"
"56827","41284","63685","62058","55068","58268"
"76331","25035","10035","10508","10521","1173"
"12568","28498","29451","34871","60789","71192"
"63107","10695","70663","6254","43737","10125"
"39971","20063","5658","49482","11125","11715"
"24776","70516","3359","7323","50173","68228"
"65811","34748","12922","62341","20641","71747"
"77175","53508","10063","10088","10230","10310"
"53717","17049","10499","10564","11751","12792"
"50340","47301","15386","64933","43888","10016"
"77554","62101","9117","63610","19014","45968"
"63279","15417","10021","10920","120","167"
"59821","10287","10346","1036","10585","1079"
"12725","42402","44069","55220","11573","14183"
"1235","74339","35781","11311","12481","21854"
"34899","21615","23839","26327","35090","3928"
"37797","19755","55180","49149","20286","28230"
"29368","11099","13180","32696","37431","47940"
"11378","39990","72900","68393","40100","19407"
"59092","23803","55902","34673","17969","60846"
"5362","33677","61854","77161","24162","51549"
"47933","62714","10704","53380","42723","19827"
"68560","31921","68849","23360","55015","57245"
"57628","12044","12283","12868","1335","15101"
"11682","18772","77859","53784","18665","10461"
"18601","10635","1115","13870","1561","19359"
"58566","10460","76261","19714","7325","24574"
"29217","20931","12104","19201","19487","18507"
"64901","52146","64525","10988","12564","23012"
"6359","21564","1048","17511","19195","21325"
"54801","10397","1081","1099","1255","13119"
"66017","71444","70443","13394","56813","4620"
"28302","10535","1109","11312","14180","18468"
"19235","43518","45277","60264","70750","7761"
"24078","23095","10026","10098","10199","10796"
"7924","78757","10048","11085","11982","12589"
"2993","28722","18111","11311","1235","12481"
"71202","14133","23653","27096","3459","37809"
"38543","48070","9196","45972","31985","51974"
"9943","31875","21448","10636","109","11192"
"24706","18865","66347","17908","51379","71799"
"17298","10843","38779","43301","50235","65514"
"49279","38780","20756","21540","22675","24502"
"7129","10184","11152","11414","11465","12591"
"54586","10280","10583","12964","14057","15069"
"55270","12521","16096","22641","23823","31247"
"16937","65681","38509","43144","50605","48772"
"44508","10562","1065","114","12331","12345"
"28976","63020","41759","36316","16411","17103"
"9612","32877","12660","14882","16644","1707"
"43313","72234","27240","23529","28012","64822"
"46237","10830","11513","11749","12629","13712"
"14883","10493","10695","10941","12135","12274"
"71036","36315","77658","64068","27714","52885"
"71886","36856","39029","41043","58463","45208"
"70372","10027","10070","10072","10090","1011"
"14750","10063","10088","10230","10310","10728"
"52053","8147","10156","10435","10463","11008"
"51638","10716","11809","1425","14354","16686"
"61875","55198","58536","25437","42418","73078"
"42039","10021","10920","120","167","17207"
"25598","97","23847","65402","1002","10136"
"23417","71374","12889","31709","12751","21335"
"30446","57214","1048","32832","44713","5790"
"27104","67389","31865","69014","78177","76698"
"61715","10097","10106","10209","10323","10516"
"72826","33503","4550","61690","72476","13817"
"7415","10027","10070","10072","10090","1011"
"11688","468","6732","17241","31022","19547"
"12209","31533","35424","31616","14195","2060"
"79016","64452","6624","59121","48308","15447"
"6019","10287","10346","1036","10585","1079"
"14436","11622","12026","12035","12195","12385"
"75422","42553","21033","39204","3986","21802"
"10482","45285","63135","30714","6348","22587"
"24686","16616","18204","18476","20543","21825"
"50313","10016","10455","10606","1126","11538"
"58067","35503","63884","42095","27970","53070"
"37854","21783","10951","46343","75816","13985"
"24118","10184","11152","11414","11465","12591"
"66750","11693","11769","12644","13407","13754"
"8116","66306","10026","1102","11223","11381"
"62540","61454","31905","47014","49690","14896"
"25663","48000","19458","23654","36098","45799"
"16585","19296","48138","73072","73754","78527"
"28466","18251","49702","6599","14276","22878"
"42531","65634","17188","17200","19640","23654"
"39680","28696","37208","40380","56324","72037"
"51560","10035","10508","10521","1173","11740"
"13374","64256","76184","42635","16072","35007"
"18441","16324","18436","25700","29316","35061"
"13880","11415","26764","40536","49725","49846"
"17383","12339","13864","16584","17746","19191"
"13014","10062","1022","10382","10440","11492"
"57674","50927","77849","22092","22374","72080"
"18756","10213","10779","11075","11638","11920"
"51964","54341","76283","16240","67377","67979"
"27403","16616","18204","18476","20543","21825"
"10871","25111","44821","49680","64274","12018"
"35456","10546","16798","17071","18089","18923"
"74872","43661","35700","3207","36943","12387"
"63796","33722","63347","41531","65419","52665"
"63457","11693","11769","14182","15917","17631"
"55057","10405","10810","11337","11384","11474"
"47336","13244","16106","23641","27704","65806"
"43032","10042","10054","10188","10332","10348"
"63855","54274","72183","3259","77228","10339"
"72231","10055","106","11179","11407","12562"
"11527","49222","9929","46117","16856","33291"
"31548","65993","32945","1346","9511","41469"
"62812","50135","1312","13668","15856","19809"
"20266","46673","14265","22188","51451","57116"
"59605","21721","46817","74779","10607","10639"
"57163","14244","18492","73886","31253","30064"
"34307","10060","10238","10390","10406","10678"
"65903","14273","11702","16698","24033","39619"
"28580","42542","39496","21774","28641","37199"
"5197","39697","1069","69855","37257","23145"
"34939","10308","11224","11992","13031","13139"
"59859","21033","39204","3986","11356","1194"
"12077","68368","11900","12972","16836","17171"
"75539","54476","70982","10000","10737","1288"
"24979","20107","10250","11091","11156","13593"
"47684","34423","73844","3680","17877","52657"
"37711","32453","20463","10502","11428","12328"
"14162","37824","47409","28815","18844","20697"
"30806","63127","55964","19309","37702","6537"
"65785","10048","11085","11982","12589","13016"
"2723","6412","4569","63134","65668","10857"
"52874","31293","55767","23541","29525","5070"
"2612","1032","10534","1123","11724","11967"
"63908","18938","21029","8383","5553","31050"
"12075","5913","10346","1079","11614","1227"
"78080","3866","37712","4560","45470","47335"
"39083","10192","10373","10737","12130","12214"
"64333","76835","18017","23198","48338","28966"
"12640","27034","78913","10788","11823","14491"
"41002","51271","2003","45972","31111","78154"
"27038","78761","9133","19324","59552","10583"
"38637","19526","77379","9735","1143","60364"
"44894","36841","10877","11643","11695","12319"
"35904","37557","46565","10653","12124","12447"
"38819","67674","23484","66569","11006","29378"
"30628","46142","10041","10417","10682","10968"
"6790","20221","34849","57534","28732","6790"
"38368","17188","17365","76610","78935","71185"
"27726","56814","27042","10771","37216","3807"
"4890","10863","49185","76995","27021","52843"
"37429","10026","10098","10199","10796","10972"
"57598","2592","2614","31511","34650","10426"
"44452","13967","17422","30453","38285","4239"
"77629","15437","39755","60688","10398","18970"
"44327","8906","63528","59107","33747","11065"
"21276","3460","194","61525","77241","8172"
"46655","46655","8339","33235","13949","45296"
"35579","10716","11149","11199","11809","11985"
"56629","18062","22497","68009","62170","43030"
"47549","11715","20100","23486","45926","54885"
"31827","20819","21153","27670","32475","32895"
"41447","10397","1081","1099","1255","13119"
"57018","60741","15466","58204","639","56296"
"69755","42821","78826","2078","29282","23663"
"16190","35369","74361","21327","49410","52266"
"48231","3245","76493","8037","44158","75167"
"58737","78850","68923","10562","1065","114"
"9001","61141","1352","14130","21257","25584"
"19462","45082","12336","73146","74760","63234"
"15267","62378","7246","60581","60479","9973"
"68076","67621","74415","69590","4949","14845"
"17617","47654","42413","5462","26089","36167"
"43701","9939","42703","15084","32614","73034"
"66224","73266","503","1268","17330","22938"
"23132","20647","57004","28725","10017","15530"
"23535","54876","1328","75204","76153","63884"
"18479","10256","10716","11809","13774","1425"
"63017","18468","20782","22445","23997","26083"
"61316","25472","64497","58963","12023","10027"
"56775","43002","9929","63706","8362","395"
"66954","36846","20441","14218","65177","5326"
"32532","10156","10435","10463","10741","1087"
"53813","15302","9156","10607","10639","10711"
"43877","14247","10291","10716","11090","11402"
"34078","17701","10794","11564","11940","13580"
"58561","11343","11725","12131","12854","13380"
"77952","73124","72241","4024","66542","32783"
"34978","18577","34978","59411","31955","16030"
"337","43658","36640","18583","19174","78235"
"25367","46376","7414","2703","29078","39553"
"35094","28907","4230","12348","7534","13158"
"24459","67808","36249","43167","17971","12870"
"10745","27167","70446","36546","73204","76245"
"59769","10016","10455","10606","11538","11815"
"54929","10737","12214","12312","1288","13278"
"78279","31786","47414","31488","2190","35402"
"62535","3191","61268","59258","31284","37385"
"3268","1064","14875","15579","16125","18195"
"663","24713","48017","69456","4358","20891"
"32451","32451","13690","45989","11381","10148"
"21607","10817","1507","64967","51254","25373"
"46904","37089","69779","6848","72160","9607"
"58236","3386","18908","69864","17771","43152"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
